,Title,Developer,Publisher,First released,JP,EU/PAL,NA
58,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,THQ,THQ,2004-09-13NA,Unreleased,Released,Released
59,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,THQ,THQ,2003-09-16NA,Unreleased,Released,Released
60,Æon Flux,Terminal Reality,Majesco Entertainment,2005-11-15NA,Unreleased,Released,Released
61,Aero Elite: Combat Academy?Aero Dancing 4,Sega-AM2,Sega,2003-03-10NA,Released,Unreleased,Released
62,Aerobics Revolution,Konami,Konami,2003-03-13JP,Released,Unreleased,Unreleased
63,AFL Live 2003,IR Gurus,Acclaim Entertainment,2002-09-05AU,Unreleased,Released,Unreleased
64,AFL Live 2004,IR Gurus,Acclaim Entertainment,2003-11-21AU,Unreleased,Released,Unreleased
65,AFL Live Premiership Edition,IR Gurus,Acclaim Entertainment,2004-04-29AU,Unreleased,Released,Unreleased
66,AFL Premiership 2005,IR Gurus,SCE AustraliaAU,2005-09-22AU,Unreleased,Released,Unreleased
67,AFL Premiership 2006,IR Gurus,SCE AustraliaAU,2006-07-20AU,Unreleased,Released,Unreleased
68,AFL Premiership 2007,IR Gurus,SCE AustraliaAU,2007-06-28AU,Unreleased,Released,Unreleased
69,After...,Pionesoft,Pionesoft,2004-02-26JP,Released,Unreleased,Unreleased
70,Agassi Tennis Generation,Aqua Pacific,DreamCatcher Interactive,2003-08-25NA,Unreleased,Released,Released
71,Age of Empires II: The Age of Kings,Ensemble Studios,Konami,2001-11-02EU,Released,Released,Unreleased
72,Agent Hugo,ITE Media,ITE Media,2005-10-12PAL,Unreleased,Released,Unreleased
73,Agent Hugo: Hula Holiday,Attractive Games,NDS Software,2008-10-06RU,Unreleased,Released,Unreleased
74,Agent Hugo: Lemoon Twist,Coyote Console,ITE Media,2007-11-05PAL,Unreleased,Released,Unreleased
75,Agent Hugo: Roborumble,ITE Media,ITE Media,2006-10-06PAL,Unreleased,Released,Unreleased
76,Aggressive Inline,Z-Axis,AKA Acclaim,2002-05-28NA,Unreleased,Released,Released
77,AI Igo 2003,GeneX,GeneX,2003-04-24JP,Released,Unreleased,Unreleased
78,AI Mahjong 2003,GeneX,GeneX,2003-04-24JP,Released,Unreleased,Unreleased
79,AI Shogi 2003,GeneX,GeneX,2003-04-24JP,Released,Unreleased,Unreleased
80,Ai Yori Aoshi,KID,KID,2003-03-20JP,Released,Unreleased,Unreleased
81,Aikagi,NEC Interchannel,NEC Interchannel,2003-09-25JP,Released,Unreleased,Unreleased
82,Air,NEC Interchannel,NEC Interchannel,2002-08-08JP,Released,Unreleased,Unreleased
83,Air Raid 3,Phoenix Games,Phoenix Games,2004PAL,Unreleased,Released,Unreleased
